,0
0,123
1,108
2,110
3,126
4,109
5,108
6,101
7,128
8,111
9,101
10,105
11,104
12,104
13,136
14,115
15,123
16,112
17,145
18,132
19,123
20,110
21,120
22,105
23,105
24,159
25,136
26,135
27,109
28,128
29,105
30,105
31,104
32,119
33,118
34,114
35,117
36,102
37,101
38,114
39,118
40,113
41,123
42,129
43,140
44,180
45,225
46,249
47,265
48,306
49,261
50,222
51,170
52,160
53,114
54,175
55,170
56,115
57,152
58,105
59,105
60,110
61,102
62,136
63,105
64,130
65,146
66,146
67,105
68,146
69,150
70,114
71,113
72,117
73,108
74,103
75,108
76,138
77,124
78,139
79,117
80,103
81,108
82,146
83,131
84,113
85,108
86,125
87,119
88,115
89,123
90,119
91,127
92,135
93,137
94,156
95,160
96,122
97,111
98,131
99,192
100,224
101,254
102,214
103,236
104,261
105,247
106,207
107,254
108,301
109,233
110,168
111,179
112,154
113,152
114,153
115,202
116,185
117,158
118,173
119,180
120,184
121,259
122,196
123,213
124,210
125,179
126,182
127,216
128,183
129,185
130,159
131,180
132,160
133,154
134,147
135,138
136,157
137,134
138,184
139,134
140,132
141,119
142,153
143,185
144,138
145,150
146,134
147,160
148,170
149,175
150,228
151,237
152,276
153,173
154,290
155,295
156,245
157,241
158,267
159,269
160,211
161,186
162,206
163,202
164,176
165,236
166,222
167,203
168,190
169,190
170,170
171,156
172,172
173,174
174,157
175,178
176,189
177,174
178,157
179,173
180,162
181,151
182,115
183,152
184,150
185,186
186,156
187,230
188,186
189,150
190,153
191,167
192,183
193,244
194,158
195,155
196,167
197,157
198,196
199,243
200,227
201,259
202,183
203,166
204,154
205,396
206,312
207,268
208,229
209,197
210,188
211,176
212,221
213,225
214,221
215,202
216,171
217,185
218,184
219,276
220,258
221,219
222,212
223,192
224,164
225,192
226,220
227,196
228,197
229,204
230,149
231,156
232,177
233,210
234,209
235,231
236,226
237,155
238,144
239,172
